Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
FAIRMOUNT AVE,SAN DIEGO MISSION RD,MISSION GORGE RD,6500,6600,6600,6600,7400
FAIRMOUNT AVE,MISSION GORGE RD,INTERSTATE 8,39100,39100,39100,39100,39100
FAIRMOUNT AVE,INTERSTATE 8,CAMINO DEL RIO SOUTH,86400,86400,86400,86400,86400
FAIRMOUNT AVE,CAMINO DEL RIO SOUTH,MONTEZUMA RD,66100,66100,79900,79900,79900
FAIRMOUNT AVE,MONTEZUMA RD,ALDINE DR,35600,35600,35600,35600,35600
FAIRMOUNT AVE,ALDINE DR,MEADE AVE,16800,16800,16800,16800,16800
FAIRMOUNT AVE,MEADE AVE,EL CAJON BLVD,7300,7900,7900,7900,7400
FAIRMOUNT AVE,EL CAJON BLVD,ORANGE AVE,12800,11100,10700,10700,11400
FAIRMOUNT AVE,ORANGE AVE,UNIVERSITY AVE,11900,11900,12400,12400,12400
FAIRMOUNT AVE,UNIVERSITY AVE,WIGHTMAN ST,14400,14400,13500,13500,13500
FAIRMOUNT AVE,WIGHTMAN ST,THORN ST,13100,14100,13100,13100,11100
FAIRMOUNT AVE,THORN ST,POPLAR ST,17900,17900,18200,18200,18200
FAIRMOUNT AVE,POPLAR ST,HOME AVE,17700,17700,19200,17500,19000
FAIRMOUNT AVE/47TH ST,HOME AVE,FEDERAL BLVD,9800,9800,6300,11000,11000
FAMOSA BLVD,NIMITZ BLVD,VALETA ST,7400,7400,7700,7700,10000
FANUEL ST,ALTA LA JOLLA DR,TURQUOISE ST,6500,5900,5900,5900,3600
FANUEL ST,TURQUOISE ST,LORING ST,3000,3000,3000,3000,3000
FANUEL ST,LORING ST,GARNET AVE,3900,3900,3900,3800,3500
FANUEL ST,GARNET AVE,GRAND AVE,6700,6700,5500,5500,5500
FANUEL ST,GRAND AVE,PACIFIC BEACH DR,4000,4000,4000,4000,3900
FASHION VALLEY RD,HOTEL CIRCLE NORTH,FRIARS RD,10700,10700,10700,10700,10700
FATHER JUNIPERO SERRA TR,MISSION GORGE RD,MISSION GORGE RD,2300,2300,2300,3100,3100
FAY AVE,PROSPECT ST,PEARL ST,4300,4300,4300,4300,4300
FAY AVE,PEARL ST,WEST MUIRLANDS DR,8900,8900,8900,8300,7300
FAY AVE,WEST MUIRLANDS DR,NAUTILUS ST,7500,7500,7500,7500,7500
FEDERAL BLVD,HOME AVE,47TH ST,3100,3100,3100,3100,3100
FEDERAL BLVD,47TH ST,EUCLID AVE,10300,10500,10500,10500,9200
FEDERAL/BAYVIEW HTS,EUCLID AVE,ROUTE 94,10000,8000,8000,8000,8600
FEDERAL BLVD (RT94 RAMP),ROUTE 94,60TH ST,18600,18600,18600,18600,18600
FEDERAL BLVD,60TH ST,MALLARD ST,17200,17200,17200,17200,17200
FEDERAL BLVD,MALLARD ST,MACARTHUR DR,11000,10900,10900,10900,9700
FELSPAR ST,FANUEL ST,INGRAHAM ST,4400,4400,4400,3300,3300
FERN ST,JUNIPER ST,GRAPE ST,7400,7400,7300,7300,7300
FERN ST,GRAPE ST,A ST,8900,8100,8600,8600,9100
FIELD ST,COWLEY WY,FAIRFIELD ST,7900,7900,7900,7900,7900
FLANDERS DR,MIRA MESA BLVD,CAMINO SANTA FE,6400,7500,7500,7500,7600
FLANDERS DR,CAMINO SANTA FE,PARKDALE AVE,8500,8500,10500,10500,11300
FLANDERS DR,PARKDALE AVE,CAMINO RUIZ,4100,4100,4100,3800,3800
FLORIDA ST,EL CAJON BLVD,UNIVERSITY AVE,3700,3600,3200,4800,4100
FLORIDA ST,UNIVERSITY AVE,ROBINSON AVE,5500,5500,5800,5800,5800
FLORIDA ST,ROBINSON AVE,MORLEY FIELD DR,5100,5100,5100,6800,6800
FLORIDA DR,MORLEY FIELD DR,ZOO PL,7600,7600,7800,7800,7800
FLORIDA DR,ZOO PL,PERSHING DR,20100,22600,22600,11900,22200
FONTAINE ST,PRINCESS VIEW DR,CONESTOGA WAY,2700,2700,2700,2700,2700
FONTAINE ST,CONESTOGA WAY,MARGERUM WAY,2600,2600,2600,800,800
FOOTHILL BLVD,BERYL ST,LORING ST,23300,23300,23300,20400,21400
FOOTHILL BLVD,LORING ST,TURQUOISE ST,17500,15800,15800,15800,17100
FORT STOCKTON DR/ARISTA,PRESIDIO DR,LEWIS ST,2100,2100,2100,2100,2100
FORT STOCKTON DR,LEWIS ST,SUNSET BLVD,1900,1900,2000,2000,2000
FORT STOCKTON DR,SUNSET BLVD,HAWK ST,4600,4600,4200,4200,4200
FORT STOCKTON DR,HAWK ST,GOLDFINCH ST,8500,9700,9700,9700,7600
FORT STOCKTON DR,GOLDFINCH ST,FALCON ST,2900,2700,2700,2700,2700
FRAZEE RD,MURRAY CANYON RD,FRIARS RD,8400,8400,8300,8300,8300
FRAZEE RD,FRIARS RD,HAZARD CENTER DR,17200,17200,17200,11500,11500
FRIARS RD,SEA WORLD DR,INTERSTATE 5,10900,10900,10900,11700,12800
FRIARS RD,INTERSTATE 5,PACIFIC HWY,10900,10900,10900,10900,10900
FRIARS RD,PACIFIC HWY,MORENA BLVD,10900,12700,12700,12700,12700
FRIARS RD,MORENA BLVD,NAPA ST,10900,12700,12700,12700,12700
FRIARS RD,NAPA ST,VIA LAS CUMBRES,17100,17100,17100,16500,16500
FRIARS RD,VIA LAS CUMBRES,FASHION VALLEY RD,23800,23800,23800,23800,23800
FRIARS RD,FASHION VALLEY RD,ULRIC ST,43600,45400,45400,45400,45400
FRIARS RD,ULRIC ST,ROUTE 163,56500,56200,52100,52100,52100
FRIARS RD,ROUTE 163,MISSION CENTER RD,33300,33300,33300,37400,37200
FRIARS RD,MISSION CENTER RD,QUALCOMM WAY,41200,41200,32200,32200,32200
FRIARS RD,QUALCOMM WAY,INTERSTATE 805,39900,39900,39900,39900,39900
FRIARS RD,INTERSTATE 805,MISSION VILLAGE DR,37200,34100,32300,32300,34600
FRIARS RD,MISSION VILLAGE DR,INTERSTATE 15,38700,38700,38700,36600,36600
FRIARS RD,INTERSTATE 15,SANTO RD,55400,56000,56000,45500,47800
FRIARS RD,SANTO RD,MISSION GORGE RD,46900,42300,42300,42300,46600
FRONT ST,DICKINSON ST,WASHINGTON ST,4700,4700,4700,4700,4700
FRONT ST,DATE ST,ASH ST,15900,15900,14100,14100,14100
FRONT ST,ASH ST,A ST,12100,14800,14800,14800,14800
FRONT ST,A ST,BROADWAY,11400,11400,11400,12900,12900
FRONT ST,BROADWAY,MARKET ST,8100,8100,8100,10800,10800
FRONT ST,MARKET ST,HARBOR DR,3300,4400,4400,5900,3100
FROST ST,HEALTH CENTER DR,BERGER AVE/CHILDRENS WAY,11500,11500,11500,8200,8200
G ST,PACIFIC HWY,KETTNER BLVD,3800,3800,3800,2700,2700
G ST,KETTNER BLVD,INDIA ST,5000,5000,5000,3000,3000
G ST,INDIA ST,FRONT ST,4700,4700,3300,3300,3300
G ST,FRONT ST,4TH AVE,7200,7200,7200,6200,6200
G ST,4TH AVE,5TH AVE,11100,12600,12600,12600,12600
G ST,5TH AVE,8TH AVE,12300,12300,12300,10100,10100
G ST,8TH AVE,10TH AVE,15000,15000,15000,11800,11800
G ST,10TH AVE,11TH AVE,18300,17700,17700,12000,12000
G ST,11TH AVE,PARK BLVD,16000,16700,16700,17200,17200
G ST,PARK BLVD,16TH ST,19800,19800,19800,19800,19800
G ST,16TH ST,17TH ST,20900,21600,21600,21600,21600
G ST(RT 94 RAMP),17TH ST,INTERSTATE 5,23300,23300,23300,22000,22000
G ST,19TH ST,22ND ST,3600,3600,4600,4600,4600
GALVIN AVE,BLACK MOUNTAIN RD,WESTVIEW PKWY,3100,3100,3100,3300,3500
GARNET AVE,MISSION BLVD,CASS ST,13000,13000,13000,7600,7600
GARNET AVE,CASS ST,FANUEL ST,19300,20400,20400,8900,7600
GARNET AVE,FANUEL ST,INGRAHAM ST,22600,20700,20900,19900,18900
GARNET AVE,INGRAHAM ST,LAMONT ST,26400,26200,26200,32500,25400
GARNET AVE,LAMONT ST,BALBOA AVE,34500,29000,26400,26400,28600
GARNET AVE,BALBOA AVE,SOLEDAD MOUNTAIN RD,43300,43300,43300,43300,43300
GARNET AVE,SOLEDAD MOUNTAIN RD,MISSION BAY DR,53000,60900,60900,62400,55300
GARNET AVE,MISSION BAY DR,INTERSTATE 5,35400,35400,35400,50800,44700
GARRISON ST,ROSECRANS ST,CHATSWORTH BLVD,1500,1500,1500,1500,1500
GATEWAY DR/MIDVALE/RALENE,HOME AVE,INTERSTATE 805,5100,5100,5100,4900,4900
GEMINI AVE,PEGASUS AVE,BLACK MOUNTAIN RD,7200,7200,8500,8500,8500
GENESEE AVE,TORREY PINES RD,INTERSTATE 5,37100,37700,37700,37700,42600
GENESEE AVE,INTERSTATE 5,CAMPUS POINT DR,34900,34900,28700,28700,28700
GENESEE AVE,CAMPUS POINT DR,REGENTS RD,26500,26500,26500,32800,32800
GENESEE AVE,REGENTS RD,EASTGATE MALL,31400,31400,31400,29900,29900
GENESEE AVE,EASTGATE MALL,LA JOLLA VILLAGE DR,24600,27000,27000,26100,24300
GENESEE AVE,LA JOLLA VILLAGE DR,NOBEL DR,39700,24600,24600,28300,20600
GENESEE AVE,NOBEL DR,GOVERNOR DR,24400,29400,32800,28200,31700
GENESEE AVE,GOVERNOR DR,ROUTE 52,28700,28700,29200,28900,28900
GENESEE AVE,ROUTE 52,CLAIREMONT MESA BLVD,28600,28600,28600,30000,30000
GENESEE AVE,CLAIREMONT MESA BLVD,CHATEAU DR,26200,26200,26200,22800,25800
GENESEE AVE,CHATEAU DR,MT HERBERT AVE,24300,24300,28300,28300,28300
GENESEE AVE,MT HERBERT AVE,DERRICK DR,22300,22300,29000,29000,29000
GENESEE AVE,DERRICK DR,MT ETNA DR,27200,26100,26100,26100,26100
GENESEE AVE,MT ETNA DR,BALBOA AVE,31500,27900,27900,27900,30100
GENESEE AVE,BALBOA AVE,MT ALIFAN DR,30300,30300,30300,21300,24700
GENESEE AVE,MT ALIFAN DR,MARLESTA DR,23900,23400,23400,20500,23600
GENESEE AVE,MARLESTA DR,LINDA VISTA RD,20900,20700,17700,21400,24600
GENESEE AVE,LINDA VISTA RD,ROUTE 163,36100,36100,36100,28900,31000
GENESEE AVE,ROUTE 163,HEALTH CENTER DR,21500,23100,23100,23100,23600
GENTER ST,FAY AVE,GIRARD AVE,22500,22500,5800,5800,5800
GILMAN DR,LA JOLLA VILLAGE DR,VILLA LA JOLLA DR,13900,13900,13900,13900,13900
GILMAN DR,VILLA LA JOLLA DR,INTERSTATE 5,15700,15700,15700,15700,18000
GIRARD AVE,PROSPECT ST,TORREY PINES RD,5100,5100,3900,3900,5300
GIRARD AVE,TORREY PINES RD,PEARL ST,26000,25600,25600,25600,25800
GIRARD AVE,PEARL ST,GENTER ST,8800,8800,8800,6600,7100
GOLD COAST DR,PARKDALE AVE,CAMINO RUIZ,6900,6900,6000,6000,6200
GOLD COAST DR,CAMINO RUIZ,WESTONHILL DR,5500,5500,5500,5500,5500
GOLD COAST DR,WESTONHILL DR,GREENFORD DR,10300,10300,8100,8100,8100
GOLD COAST DR,GREENFORD DR,BLACK MOUNTAIN RD,15700,15700,7800,7600,7900
GOLDFINCH ST,LEWIS ST,FORT STOCKTON DR,2000,2000,3900,3900,3900
GOLDFINCH ST,FORT STOCKTON DR,WASHINGTON ST,9200,9200,9200,9200,9200
GOLDFINCH ST,WASHINGTON ST,UNIVERSITY AVE,6300,6300,6300,4700,4700
GOLDFINCH ST,UNIVERSITY AVE,SUTTER ST,7300,6600,6600,6600,6700
GOLFCREST DR,WANDEMERE DR,JACKSON DR,6000,6000,6600,6600,6600
GOLFCREST DR,JACKSON DR,NAVAJO RD,6400,6400,6400,7100,7100
GOLFCREST DR,NAVAJO RD,MISSION GORGE RD,4400,4400,5400,5400,5400
GOVERNOR DR,STRESEMANN ST,REGENTS RD,4400,4400,5500,5500,5500
GOVERNOR DR,REGENTS RD,GENESEE AVE,11900,12700,11600,11600,11600
GOVERNOR DR,GENESEE AVE,GULLSTRAND ST,18700,18100,18100,18100,18100
GOVERNOR DR,GULLSTRAND ST,INTERSTATE 805,16000,16000,16000,18200,18200
GRAMERCY DR,SANDROCK RD,MOBLEY ST,7700,7700,6800,6800,6800
GRAMERCY DR,MOBLEY ST,RUFFIN RD,7300,6600,6600,6600,6600
GRAND AVE,MISSION BLVD,CASS ST,14900,14900,14200,14200,14200
GRAND AVE,CASS ST,FANUEL ST,21500,22700,22700,22100,25100
GRAND AVE,FANUEL ST,INGRAHAM ST,27900,30000,24100,24100,28000
GRAND AVE,INGRAHAM ST,LAMONT ST/BALBOA AVE,28300,32100,26400,47200,30300
GRAND AVE,LAMONT ST/BALBOA AVE,MISSION BAY DR,35400,35000,35000,24700,29000
GRAPE ST,HARBOR DR (N),PACIFIC HWY,19700,19700,19700,16500,16500
GRAPE ST,PACIFIC HWY,KETTNER BLVD,23700,23700,17400,17400,22100
GRAPE ST,KETTNER BLVD,INDIA ST,26300,26300,19000,19000,19000
GRAPE ST,INDIA ST,COLUMBIA ST,29100,29100,20000,20000,20000
GRAPE ST,COLUMBIA ST,INTERSTATE 5,30100,29600,29600,29600,26000
GRAPE ST,INTERSTATE 5,ALBATROSS ST,9100,9100,8100,8100,8100
GRAPE ST,ALBATROSS ST,1ST AVE,1400,1400,1300,1300,1300
GRAPE ST,1ST AVE,4TH AVE,2200,2200,1800,1800,1800
GRAPE ST,4TH AVE,5TH AVE,1900,1900,1500,1500,1500
GRAPE ST,5TH AVE,6TH AVE,1300,1300,1100,1100,1100
GREYLING DR,RAJEAN DR,PINECREST AVE,2500,2500,1700,1700,1700
GREYLING DR,PINECREST AVE,SANDROCK RD,1800,1800,1700,1700,1700
GROVE AVE/ORO VISTA RD,HOLLISTER AVE,IRIS AVE,5700,5700,5700,4800,4800
GULLSTRAND ST,FLOREY ST,GOVERNOR DR,4100,4000,4000,4000,4000
GULLSTRAND ST,GOVERNOR DR,KANTOR ST,900,900,700,700,700
HALF MILE DR,HIGH BLUFF DR,EL CAMINO REAL,1800,1800,2100,2100,2100
HAMMOND DR,SANDROCK RD,GRAMERCY DR,3500,3500,3500,3500,3500
HANCOCK ST,SPORTS ARENA BLVD,KURTZ ST,3900,3900,3400,3400,3400
HANCOCK ST,KURTZ ST,CAMINO DEL RIO,7900,4900,4900,4000,2400
HANCOCK ST,CAMINO DEL RIO,ROSECRANS ST,4700,4700,3300,2600,2600
HANCOCK ST,OLD TOWN AVE,WITHERBY ST,9700,9700,9200,9200,9200
HANCOCK ST,WITHERBY ST,NOELL ST,2700,2700,3000,4000,4000
HANCOCK ST,NOELL ST,WASHINGTON ST,3700,3700,9700,9700,9700
HARBINSON AVE,AMHERST ST,EL CAJON BLVD,2900,2900,2700,2700,2700
HARBOR DR,NORTH HARBOR DR,PACIFIC HWY,12500,12500,10500,10500,10500
HARBOR DR,PACIFIC HWY,KETTNER BLVD,14400,14400,14400,16100,16100
HARBOR DR,KETTNER BLVD,MARKET ST,17600,17600,17600,19500,22300
HARBOR DR,MARKET ST,FRONT ST,16500,16500,16500,15600,15600
HARBOR DR,FRONT ST,1ST AVE,16100,16100,16100,16100,16100
HARBOR DR,1ST AVE,5TH AVE,16800,15100,15100,15100,15100
HARBOR DR,5TH AVE,8TH AVE,22500,22500,22500,22500,22500
HARBOR DR,8TH ST,CESAR CHAVEZ PKWY,12900,12900,13900,13900,13800
HARBOR DR,CESAR CHAVEZ PKWY,CORONADO BRIDGE,12200,12200,12200,10700,10700
HARBOR DR,CORONADO BRIDGE,SAMPSON ST,10900,10900,8800,10600,11400
HARBOR DR,SAMPSON ST,28TH ST,9600,9600,9600,9600,9600
HARBOR DR,28TH ST,32ND ST,9300,9300,9300,9300,9300
HARBOR DR,32ND ST,8TH ST (NATIONAL CITY),17200,17200,17200,17000,17000
HARBOR ISLAND DR,WEST END,TRAFFIC CIRCLE,6100,6100,5700,5700,5700
HARBOR ISLAND DR,TRAFFIC CIRCLE,EAST END,4600,4600,4700,4700,4700
HARBOR ISLAND DR,NORTH HARBOR DR,TRAFFIC CIRCLE,9900,9900,17800,17800,17800
HARNEY ST,JUAN ST,CONGRESS ST,3000,3000,3000,2500,2500
HARNEY ST,CONGRESS ST,JEFFERSON ST,1200,1200,1200,400,400
HARTFIELD AVE,QUARTER MILE DR,DEL MAR HEIGHTS RD,7500,7500,7300,7300,6900
HARVEST RD,AIRWAY RD,SIEMPRE VIVA RD,1200,1200,1200,900,900
HAWTHORN ST,HARBOR DR (N),PACIFIC HWY,24600,24600,17400,18800,18800
HAWTHORN ST,PACIFIC HWY,KETTNER BLVD,13000,13000,13000,20800,24200
HAWTHORN ST,KETTNER BLVD,INDIA ST,24700,24700,22800,14200,14200
HAWTHORN ST,INDIA ST,COLUMBIA ST,25200,25200,25200,24000,24000
HAWTHORN ST,COLUMBIA ST,STATE ST,26100,26100,23700,23700,23700
HAWTHORN ST,STATE ST,INTERSTATE 5,30000,30000,31600,31600,31600
HAWTHORN ST,INTERSTATE 5,1ST AVE,3000,3000,3400,3400,3400
HAWTHORN ST,1ST AVE,4TH AVE,1800,1800,2100,2100,2100
HAZARD CENTER DR,FRAZEE RD,MISSION CENTER RD,9600,9800,9800,9800,9800
HEALTH CENTER DR,MESA COLLEGE DR,VISTA HILL AVE,12800,12400,12100,12100,12100
HEALTH CENTER DR,VISTA HILL AVE,GENESEE AVE/STARLING DR,15400,13600,13600,13600,13600
HERITAGE/OTAY VALLEY RD,ENTERTAINMENT CIR (N),OTAY MESA RD,10400,10400,10400,7800,8500
HERSCHEL AVE,PROSPECT ST,PEARL ST,6600,6600,6600,6600,6600
HICKMAN FIELD DR,COPLEY DR,CONVOY CT,4000,4000,4000,5100,5100
HIDDEN VALLEY RD,ARDATH DR,VIA CAPRI,9200,9200,7500,7500,7500
HIGH BLUFF DR,HALF MILE DR,DEL MAR HEIGHTS RD,6100,6100,6100,6100,6100
HIGH BLUFF DR,DEL MAR HEIGHTS RD,EL CAMINO REAL,9900,9900,9900,8700,10200
HIGHLAND RANCH RD,CARMEL MOUNTAIN RD,CARMEL RIDGE RD,9600,13900,9900,11100,11100
HIGHLAND RANCH RD,CARMEL RIDGE RD,TED WILLIAMS PKWY,11200,11100,11100,10800,10800
HIGHLAND VALLEY RD,POMERADO RD,BANDY CANYON RD,1800,1600,1600,1500,2000
HIGHWOOD DR,GROSSMONT COLLEGE DR,LAKE MURRAY BLVD,6000,4100,4100,4100,4200
HILL ST,SUNSET CLIFFS BLVD,CATALINA BLVD,3100,3300,3300,3300,3300
HILLTOP DR,BOUNDARY ST,47TH ST,2600,1800,1800,3800,3800
HOLIDAY CT,VILLA LA JOLLA DR,EAST END,1600,1600,1600,1600,1600
HOLLISTER ST,MAIN ST,PALM AVE,6100,6100,6100,5900,5900
HOLLISTER ST/OUTER RD,PALM AVE,CORONADO AVE (E),4900,4900,4900,4900,4900
HOLLISTER ST (I-5 RAMP),INTERSTATE 5,CORONADO AVE (W),11100,11100,11100,11100,11100
HOLLISTER ST,CORONADO AVE (W),GROVE AVE,12200,12200,12200,12200,12200
HOLLISTER ST,GROVE AVE,TOCAYO AVE/RT 905,8900,8100,8100,8100,8100
HOLLISTER ST,TOCAYO AVE/RT 905,SUNSET AVE,1700,1700,1700,2200,2200
HOLLISTER ST,SUNSET AVE,MONUMENT RD,1000,1000,1300,1300,1300
HOME AVE (RT 94 RAMPS),ROUTE 94,FEDERAL BLVD,11700,11700,11700,5300,5300
HOME AVE,FEDERAL BLVD,GATEWAY DR,17000,17000,15900,15900,15900
HOME AVE,GATEWAY DR,INTERSTATE 805,17700,17700,17700,16600,16600
HOME AVE,INTERSTATE 805,FAIRMOUNT AVE,37300,37200,37200,37200,32600
HOME AVE,FAIRMOUNT AVE,EUCLID AVE,17300,17300,17400,17400,10100
HOTEL CIRCLE (N),HOTEL CIRCLE(S)/TAYLOR,HOTEL CIRCLE PL,12000,12000,12000,12000,12000
HOTEL CIRCLE (N),HOTEL CIRCLE PL,INTERSTATE 8 FWY RAMP,5500,5500,5600,5600,5600
HOTEL CIRCLE (N),INTERSTATE 8 FWY RAMP,FASHION VALLEY RD,17600,17600,17400,17400,17400
HOTEL CIRCLE (N),FASHION VALLEY RD,CAMINO DE LA REINA,9400,9400,9400,9900,9900
HOTEL CIRCLE (S),HOTEL CIRCLE (N)/TAYLOR,INTERSTATE 8 RAMP,15200,15200,15200,14700,8900
HOTEL CIRCLE (S),INTERSTATE 8 RAMP,CAMINO DE LA REINA,9900,9900,9900,9000,15300
HOWARD AVE,INTERSTATE 805,30TH ST,6800,6800,7200,7200,7200
HOWARD AVE,30TH ST,UTAH ST,6000,6000,6000,5300,5300
HOWARD AVE,UTAH ST,TEXAS ST,6900,6900,6900,5200,5200
HOWARD AVE,TEXAS ST,FLORIDA ST,3100,3100,3100,3100,3100
HOWARD AVE,FLORIDA ST,PARK BLVD,3600,3600,3900,3900,3900
ILLION ST,MILTON ST,KNOXVILLE ST,4200,4200,4200,4100,4100
IMPERIAL AVE,8TH AVE,10TH AVE,4300,4300,4300,4300,4300
IMPERIAL AVE,10TH AVE,PARK BLVD,2700,2700,2700,4400,4500
IMPERIAL AVE,PARK BLVD,16TH ST,4300,4300,4300,4300,4300
IMPERIAL AVE,16TH ST,INTERSTATE 5,6400,6400,6300,6300,6300
IMPERIAL AVE,INTERSTATE 5,25TH ST,6700,6700,5400,5100,5100
IMPERIAL AVE,25TH ST,28TH ST,6500,6500,5200,5200,5200
IMPERIAL AVE,28TH ST,30TH ST,6100,6100,6100,6100,6100
IMPERIAL AVE,30TH ST,32ND ST,7300,5600,5600,5600,6300
IMPERIAL AVE,32ND ST,ROUTE 15,7200,7200,7200,6300,6500
IMPERIAL AVE,ROUTE 15,38TH ST,8200,8200,8000,8000,8000
IMPERIAL AVE,38TH ST,INTERSTATE 805,24200,24200,24600,24600,24600
IMPERIAL AVE,INTERSTATE 805,47TH ST,39600,39200,39200,39200,39000
IMPERIAL AVE,47TH ST,EUCLID AVE,32900,38700,38700,38700,31500
IMPERIAL AVE,EUCLID AVE,SAN JACINTO DR,23700,23700,23700,23700,23800
IMPERIAL AVE,SAN JACINTO DR,VALENCIA PKWY,25600,25600,19400,19400,19400
IMPERIAL AVE,VALENCIA PKWY,60TH ST,17800,17800,15900,15900,15900
IMPERIAL AVE,60TH ST,65TH ST,17800,16700,16700,16700,17100
IMPERIAL AVE,65TH ST,69TH ST/LISBON ST,17500,17700,14100,14100,18800
IMPERIAL AVE,69TH ST/LISBON ST,VIEWCREST DR,8800,8200,8200,8200,9100
INDIA ST,WASHINGTON ST,SAN DIEGO AVE,8900,8900,8900,8900,8900
INDIA ST,SAN DIEGO AVE,I-5 ON RAMP/WALNUT,8000,8000,8000,8500,8500
INDIA ST,I-5 ON RAMP/WALNUT,I-5 OFF RAMP/UPAS ST,23400,23400,23700,23700,23700
INDIA ST,I-5 OFF RAMP/UPAS ST,QUINCE ST,16700,17900,17900,17900,15600
INDIA ST,QUINCE ST,I-5 OFF RAMP/OLIVE ST,17700,17700,17700,16300,16300
INDIA ST,I-5 OFF RAMP/OLIVE ST,LAUREL ST,13100,14200,14200,14200,15200
INDIA ST,LAUREL ST,HAWTHORN ST,4000,4000,4000,3300,3300
INDIA ST,HAWTHORN ST,GRAPE ST,5100,5100,3100,3100,3100
INDIA ST,GRAPE ST,ASH ST,4300,4300,4000,4000,4000
INDIA ST,ASH ST,A ST,3400,3400,3300,3300,3300
INDIA ST,A ST,C ST,6000,6000,6000,6000,6600
INDIA ST,C ST,BROADWAY,4300,5800,5800,3300,3800
INDIA ST,G ST,MARKET ST,100,100,500,500,500
INGRAHAM ST,BERYL ST,GARNET AVE,16300,18500,15000,13900,18200
INGRAHAM ST,GARNET AVE,GRAND AVE,19100,19600,19600,19600,25300
INGRAHAM ST,GRAND AVE,PACIFIC BEACH DR,23200,24200,24200,24200,23600
INGRAHAM ST,PACIFIC BEACH DR,RIVIERA DR/CROWN POINT DR,23200,24100,23300,24200,24400
INGRAHAM ST,RIVIERA DR/CROWN POINT DR,WEST MISSION BAY DR,34900,35700,35700,35700,37400
INGULF ST,MORENA BLVD,DENVER ST,6100,6000,6000,6000,6100
IRIS AVE,ORO VISTA RD,BEYER BLVD,7600,6700,7000,7000,4400
ISLAND AVE,FRONT ST,1ST AVE,3100,3100,2800,2800,2800
IVANHOE AVE,PROSPECT ST,TORREY PINES RD,4500,4400,4400,4400,2700
JACKSON DR,MISSION GORGE RD,PARK RIDGE BLVD,7600,7600,7900,7900,7900
JACKSON DR,PARK RIDGE BLVD,NAVAJO RD,10400,10400,10400,9100,9100
JACKSON DR,NAVAJO RD,GOLFCREST DR,11900,11900,10100,10100,10100
JACKSON DR,GOLFCREST DR,LAKESHORE DR,12800,12800,11500,11500,11500
JACKSON DR,LAKESHORE DR,COWLES MOUNTAIN BLVD,8100,8100,8100,8100,8100
JACKSON DR,COWLES MOUNTAIN BLVD,BOULDER LAKE AVE,7900,7900,7700,7700,7700
JACKSON DR,BOULDER LAKE AVE,LAKE MURRAY BLVD,11600,11600,10600,10600,10600
JACKSON DR,LAKE MURRAY BLVD,DALLAS ST,8800,8800,8400,8400,8400
JACKSON ST/MASON ST,PRESIDIO DR,JUAN ST,1900,1900,2100,2100,2100
JAMACHA RD,LISBON ST,CARDIFF ST,10500,10500,10500,7100,7100
JAMACHA RD,CARDIFF ST,OSAGE ST,14300,14300,14000,14000,14000
JEFFERSON ST,HARNEY ST,OLD TOWN AVE,2600,2600,2600,1800,1800
JEWELL ST,BERYL ST,GARNET ST,7200,7900,7900,7900,6000
JOHN JAY HOPKINS DR,NORTH TORREY PINES RD,GENESEE AVE,10300,10300,10100,10100,10100
JUAN ST,TAYLOR ST,HARNEY ST,6900,6900,6900,6300,6300
JUAN ST,HARNEY ST,SUNSET RD,2700,2700,2700,2600,2600
JUNIPER ST,30TH ST (W),32ND ST,4100,4100,4200,4200,4200
JUTLAND DR,MORENA BLVD,IDLEWILD WY,6700,6700,6700,6400,6400
JUTLAND DR,IDLEWILD WY,LUNA AVE,9700,9700,9700,8600,8600
KEARNY MESA RD,MAGNATRON BL,CLAIREMONT MESA BLVD,3000,3000,3000,3000,3000
KEARNY MESA RD,CLAIREMONT MESA BLVD,ENGINEER RD,6100,6100,6100,5400,4400
KEARNY MESA RD,OTHELLO AVE,CONVOY ST,9300,9600,9600,9600,9600
KEARNY VILLA RD,BLACK MOUNTAIN RD,MIRAMAR RD,12800,12800,13200,12300,11900
KEARNY VILLA RD,MIRAMAR RD,MIRAMAR WAY,21600,21200,21200,21200,21200
KEARNY VILLA RD,MIRAMAR WY,HARRIS PLANT RD,25400,25400,19300,19300,19300
KEARNY VILLA RD,HARRIS PLANT RD,ROUTE 163,26100,26100,26100,23800,23800
KEARNY VILLA RD,ROUTE 163,ROUTE 52,13500,13500,21400,21400,21400
KEARNY VILLA RD,ROUTE 52,RUFFIN RD,25000,25000,25000,21500,20000
KEARNY VILLA RD,RUFFIN RD,CLAIREMONT MESA BLVD,7900,8500,8500,5900,6300
KEARNY VILLA RD,CLAIREMONT MESA BLVD,RT 163 RAMP/CENTURY PK CT,12800,12800,13700,14300,14300
KEARNY VILLA RD,RT 163 RAMP/CENTURY PK CT,BALBOA AVE,21200,20700,20700,21400,21400
KEARNY VILLA RD,BALBOA AVE,AERO DR,19600,19300,19300,19300,19300
KEARNY VILLA RD,AERO DR,INTERSTATE 805,19600,18800,18800,17800,17800
KELTON RD,ROUTE 94,ROSWELL ST,6500,6500,6500,6500,6500
KEMPER ST,SPORTS ARENA BLVD,MIDWAY DR,6700,6700,6700,6700,7000
